dateutc;pm25;pm10;pm25f;pm25f24
2020-03-08+01:00:00;3.1;4.9;12.0;18.9
2020-03-08+02:00:00;2.3;2.5;12.0;16.4
2020-03-08+03:00:00;1.5;1.6;12.0;15.3
2020-03-08+04:00:00;3.8;4.2;43.0;16.1
2020-03-08+05:00:00;2.2;3.7;19.0;16.2
2020-03-08+06:00:00;2.4;3.2;18.0;16.2
2020-03-08+07:00:00;7.3;9.9;15.0;16.5
2020-03-08+08:00:00;4.9;7.4;17.0;16.7
2020-03-08+09:00:00;5.7;10.9;15.0;16.7
2020-03-08+10:00:00;6.0;8.3;17.0;17.2
2020-03-08+11:00:00;NA;NA;15.0;17.5
2020-03-08+12:00:00;4.3;7.8;14.0;17.3
2020-03-08+13:00:00;NA;NA;12.0;15.8
2020-03-08+14:00:00;NA;NA;12.0;15.1
2020-03-08+15:00:00;NA;NA;13.0;14.3
2020-03-08+16:00:00;NA;NA;15.0;14.0
2020-03-08+17:00:00;NA;NA;15.0;14.0
2020-03-08+18:00:00;NA;NA;16.0;14.0
2020-03-08+19:00:00;NA;NA;18.0;14.3
2020-03-08+20:00:00;NA;NA;20.0;14.9
2020-03-08+21:00:00;NA;NA;22.0;15.9
2020-03-08+22:00:00;NA;NA;22.0;17.2
2020-03-08+23:00:00;NA;NA;21.0;18.4
2020-03-09+00:00:00;NA;NA;24.0;19.6
2020-03-09+01:00:00;NA;NA;23.0;20.3
2020-03-09+02:00:00;NA;NA;26.0;21.5
2020-03-09+03:00:00;NA;NA;32.0;22.7
2020-03-09+04:00:00;NA;NA;33.0;24.1
2020-03-09+05:00:00;NA;NA;31.0;25.1
2020-03-09+06:00:00;NA;NA;36.0;26.4
2020-03-09+07:00:00;NA;NA;37.0;27.9
2020-03-09+08:00:00;NA;NA;39.0;29.8
2020-03-09+09:00:00;NA;NA;40.0;30.7
2020-03-09+10:00:00;NA;NA;40.0;32.7
2020-03-09+11:00:00;NA;NA;40.0;34.4
2020-03-09+12:00:00;NA;NA;41.0;36.0
2020-03-09+13:00:00;19.1;35.8;39.0;37.6
2020-03-09+14:00:00;18.4;30.0;40.0;38.8
2020-03-09+15:00:00;19.7;32.7;40.0;39.7
2020-03-09+16:00:00;19.5;32.2;39.0;39.8
2020-03-09+17:00:00;22.9;42.6;43.0;40.2
2020-03-09+18:00:00;16.5;29.0;42.0;40.8
2020-03-09+19:00:00;18.5;27.1;50.0;41.7
2020-03-09+20:00:00;21.3;36.5;69.0;44.6
2020-03-09+21:00:00;38.4;66.4;75.0;48.5
2020-03-09+22:00:00;30.9;51.2;85.0;53.1
2020-03-09+23:00:00;40.4;69.0;74.0;56.3
2020-03-10+00:00:00;34.5;56.0;61.0;59.8
2020-03-10+01:00:00;24.1;43.8;48.0;61.4
2020-03-10+02:00:00;15.5;19.6;46.0;62.0
2020-03-10+03:00:00;21.4;28.2;26.0;60.6
2020-03-10+04:00:00;9.1;16.8;22.0;56.6
2020-03-10+05:00:00;5.9;8.0;24.0;50.8
2020-03-10+06:00:00;14.3;18.2;27.0;46.8
2020-03-10+07:00:00;12.2;16.1;24.0;39.5
2020-03-10+08:00:00;13.8;18.4;23.0;33.2
2020-03-10+09:00:00;9.3;17.1;17.0;28.8
2020-03-10+10:00:00;7.5;13.2;17.0;24.9
2020-03-10+11:00:00;2.7;2.9;13.0;21.7
2020-03-10+12:00:00;4.8;8.2;13.0;20.2
2020-03-10+13:00:00;4.6;7.1;13.0;19.4
2020-03-10+14:00:00;3.6;9.5;10.0;17.9
2020-03-10+15:00:00;1.1;1.5;11.0;16.0
2020-03-10+16:00:00;1.6;22.0;9.0;14.3
2020-03-10+17:00:00;1.0;2.4;10.0;13.1
2020-03-10+18:00:00;1.6;2.8;11.0;12.7
2020-03-10+19:00:00;1.3;2.0;15.0;12.4
2020-03-10+20:00:00;3.1;17.0;19.0;12.7
2020-03-10+21:00:00;5.7;7.2;16.0;12.9
2020-03-10+22:00:00;3.2;3.8;14.0;13.1
2020-03-10+23:00:00;6.2;8.1;14.0;13.7
2020-03-11+00:00:00;3.1;3.3;8.0;13.9
2020-03-11+01:00:00;1.1;1.4;9.0;13.6
2020-03-11+02:00:00;0.6;0.6;8.0;13.4
2020-03-11+03:00:00;0.6;1.3;NA;NA
